#query: tattoo - los angeles - 54
2.0 qid:24 1:21 2:0 3:0 4:2.559850542 5:0.609568596
2.0 qid:24 1:10 2:1 3:1 4:0 5:1.03421092
1.0 qid:24 1:7 2:1 3:0 4:0 5:1.7386306524
1.0 qid:24 1:6 2:1 3:0 4:0 5:2.0863566399
2.0 qid:24 1:6 2:0 3:1 4:0 5:0.8109694719
1.0 qid:24 1:6 2:0 3:0 4:0 5:2.0863566399
2.0 qid:24 1:5 2:0 3:1 4:3.624781352 5:0.8767379522
2.0 qid:24 1:4 2:0 3:1 4:0 5:1.765743494
2.0 qid:24 1:4 2:1 3:0 4:0 5:0.5472717285
1.0 qid:24 1:4 2:0 3:0 4:0 5:2.3227221966
2.0 qid:24 1:3 2:0 3:1 4:3.2952747705 5:0.5330473185
#query: tattoo - atlanta - 49
3.0 qid:49 1:3 2:0 3:1 4:0 5:1.7710864544
3.0 qid:49 1:1 2:1 3:1 4:0 5:3.2692623138
3.0 qid:49 1:1 2:1 3:1 4:0 5:2.583313942
1.0 qid:49 1:2 2:1 3:0 4:0 5:1.0683715343
3.0 qid:49 1:1 2:0 3:1 4:0 5:3.2692623138
3.0 qid:49 1:1 2:0 3:1 4:0 5:3.2291426659
1.0 qid:49 1:1 2:1 3:0 4:0 5:1.8546307087
1.0 qid:49 1:1 2:1 3:0 4:0 5:1.6145713329
3.0 qid:49 1:1 2:1 3:0 4:0.6931471806 5:1.4985462427
1.0 qid:49 1:1 2:1 3:0 4:0 5:1.291656971
1.0 qid:49 1:1 2:1 3:0 4:0 5:0.6582379341
#query: tattoo - san francisco - 46
3.0 qid:46 1:1 2:1 3:0 4:0 5:3.2246973515
3.0 qid:46 1:2 2:0 3:0 4:0.6365141683 5:2.3655359745
3.0 qid:46 1:1 2:0 3:1 4:0 5:2.303355217
3.0 qid:46 1:1 2:0 3:1 4:1.9459101491 5:1.8173191547
3.0 qid:46 1:1 2:0 3:1 4:0 5:1.6123486757
1.0 qid:46 1:1 2:0 3:0 4:0 5:3.2246973515
1.0 qid:46 1:1 2:0 3:0 4:0 5:3.2246973515
1.0 qid:46 1:1 2:0 3:0 4:1.0986122887 5:2.7926697731
1.0 qid:46 1:1 2:0 3:0 4:0 5:2.3655359745
1.0 qid:46 1:1 2:0 3:0 4:0 5:1.6123486757
1.0 qid:46 1:1 2:0 3:0 4:0 5:1.3820130825
#query: restaurant - houston - 7
2.0 qid:7 1:7 2:1 3:0 4:0 5:1.0834327936
2.0 qid:7 1:1 2:1 3:1 4:0 5:1.4059463739
2.0 qid:7 1:1 2:1 3:1 4:0.6931471806 5:1.3870418072
3.0 qid:7 1:2 2:1 3:0 4:0.6931471806 5:1.3184763193
1.0 qid:7 1:2 2:1 3:0 4:0.6931471806 5:1.0589025021
1.0 qid:7 1:2 2:1 3:0 4:0 5:0.4258796573
1.0 qid:7 1:1 2:1 3:0 4:0 5:2.8118927479
1.0 qid:7 1:2 2:0 3:0 4:0.6931471806 5:2.2495141029
1.0 qid:7 1:1 2:1 3:0 4:0 5:2.2495141029
2.0 qid:7 1:2 2:0 3:0 4:0 5:2.1835978031
1.0 qid:7 1:1 2:1 3:0 4:0 5:1.9683248997
#query: beer - chicago - 29
3.0 qid:29 1:16 2:0 3:1 4:0.6931471806 5:1.322806358
2.0 qid:29 1:13 2:1 3:0 4:1.3285151912 5:1.073966026
2.0 qid:29 1:10 2:1 3:1 4:1.6103331657 5:1.032839537
2.0 qid:29 1:7 2:1 3:0 4:0.3767701613 5:1.2038841248
3.0 qid:29 1:6 2:1 3:0 4:2.519534146 5:1.2472994328
3.0 qid:29 1:6 2:0 3:1 4:3.1566797227 5:1.236805439
2.0 qid:29 1:6 2:1 3:0 4:0.4101163183 5:1.0106060505
3.0 qid:29 1:4 2:1 3:1 4:1.3862943611 5:1.481603384
3.0 qid:29 1:4 2:1 3:1 4:0.6365141683 5:1.4338399172
